audio	sentence	speaker_gender
01-200922-100107_bem_d31_elicit_5.wav	ubu bushiku kwali ukwabuta ico umweshi walibalike	Male
01-201005-230705_bem_fb0_elicit_2.wav	naco aciti somone ala pali akantu	Male
03-201002-091908_bem_798_elicit_2.wav	balesungila mumitima kashi umo nga afwa ninshi pafiita pafiitila imiti ikula impanga yonse na zambia pamufiitila	Female
04-200916-223805_bem_346_elicit_8.wav	nabambi baba ba kafundisha	Female
01-200918-082418_bem_d31_elicit_10.wav	ubunte kuti bwapelwa ngefi	Male
03-201006-011410_bem_798_elicit_29.wav	ico shamitombo taleumfwako ifyo balesosa asekafye babwela balafunkana na mu minwe	Female
04-200914-215547_bem_346_elicit_5.wav	awe tatwakwata	Female
01-200922-090011_bem_d31_elicit_19.wav	bacilolo kabili bafwaikwa ukuba abashipa mukukalipila ba munyina ne nkashi abalanda no kusuusha abana banono	Male
04-200914-220511_bem_346_elicit_31.wav	kuti fya citika	Female
01-200917-223740_bem_d31_elicit_32.wav	lesa atwafwe ukumfwa amapange yakwe pali ifwe mu lukuta kabili twikale kukuleta ubukata kuli wene muli bumushilo pamo no kutemwa	Male
03-201006-005222_bem_798_elicit_34.wav	ku mwabo bena baishibafye mpapa ne filundu	Female
01-201002-000224_bem_fb0_elicit_8.wav	ninshi apwa ilyo janet amwene aya mashiwi mukwai atala aikata na mu mutwe ubulanda bwamwishila ubukalamba	Male
01-201001-223110_bem_fb0_elicit_23.wav	iwe walishiba utwingi	Male
01-200914-185607_bem_d31_elicit_44.wav	ulishani katumbi	Male
05-200916-152753_bem_a40_elicit_26.wav	incito shimo shibombwa fye na baume elyo shimbi na banakashi	Male
01-201004-193949_bem_fb0_elicit_3.wav	ico inuni yapatila inshimu	Male
01-200922-000917_bem_d31_elicit_37.wav	nangu ukulolesha icintu icikalamba	Male
04-201005-205341_bem_40e_elicit_21.wav	katayi nyinabo ico ashele umushimbe abana bacili abaice tamwene cifulo cinecine	Female
04-201005-212105_bem_40e_elicit_9.wav	bushe impili shonse shaba fino fine awe iyoo	Female
03-200924-214522_bem_798_elicit_6.wav	ukusangalala	Female
08-200915-143450_bem_346_elicit_28.wav	mwashibukeni ba galedi one	Male
06-200918-153816_bem_c20_elicit_26.wav	umulumendo ati ambaisheko umufwi wabwela wamulasa na ukumulasa	Female
03-200916-010158_bem_798_elicit_23.wav	mukumukalipila emukumukanya ukubeelelela mufibi	Female
03-200925-061220_bem_798_elicit_30.wav	he he mbafye pa ng'anda kuli tukolwe	Female
01-201011-223928_bem_fb0_elicit_2.wav	atemwa mung'ang'a nshi	Male
04-200917-143010_bem_346_elicit_35.wav	namusanguka abasungu nomba	Female
06-200916-094743_bem_c20_elicit_16.wav	sunkutu ati eya epo nakutemenwa mwandi kalulu	Female
01-201006-002700_bem_fb0_elicit_40.wav	kanshi apa e pafuma imijgomba ukulya imbalala mu fifwani fya bantu	Male
04-200916-232135_bem_346_elicit_11.wav	kanofye ngaba ati 'imakaneni' elo nabena baiminina	Female
01-201005-212422_bem_fb0_elicit_12.wav	ameno yakwe kuti nga akokota pe fupa ilya muntu kuti wati ni soo aputula	Male
01-180102-143243_bem_d31_elicit_25.wav	kanshi inshita yaku bomba imilimo yabuteko yalepwila mukwenda	Male
03-201003-235942_bem_798_elicit_34.wav	bamona no mulilo pe shilya ulipo na belubelu mu miti ici paya palefitilila	Female
04-201012-174116_bmy_47d_elicit_10.wav	kwena limolimo balebwela ku mfumu no kushimika ifyo shimapepo alecita	Female
01-200918-082418_bem_d31_elicit_25.wav	mwipifye kusosa fye pali amaminute yasano nelyo ukucefyako	Male
02-200917-142752_bem_197_elicit_13.wav	ukulanda mipontomiponto	Male
01-180101-045438_bem_d31_elicit_25.wav	ishina lya lukuta lwa citatu ukupokelela kalata ukufuma ku mfumu	Male
01-200918-081050_bem_d31_elicit_46.wav	bafwile ukwishiba ukupenda bwino pakuti baleishiba ifyo baleposa indalama nga muli ubukumu nangu iyoo	Male
04-201005-211232_bem_40e_elicit_14.wav	abantu bonse e pa kwishiba ukuti mulenga ni shimapepo winewine	Female
05-200916-173847_bem_a40_elicit_23.wav	temulume wandi	Male
03-200921-162447_bem_798_elicit_29.wav	ukulapindululaimyundapilweyamuntu nangu kumilimo yonse iikumine umubele wakwe uwa bwaume nangu ubwanakashi bwakwe ku fyabumi fyonse nangu	Female
03-201004-110412_bem_798_elicit_11.wav	kanshi pali abo bantu baikete balefwaya ukuti bepayepo umo	Female
01-200930-150533_bem_fb0_elicit_50.wav	joni alifililwe ukulolela inshita pa kwipusha janet ulwa cupo pantu aletiina abalumendo abali nga peter marara na mark monyoro	Male
06-200916-150125_bem_c20_elicit_15.wav	camweba aciti cisuma apo iwe watila balakukaana buula akameme aka	Female
02-200917-190114_bem_197_elicit_3.wav	umuntu uwakaso	Male
17-200916-193611_bem_346_elicit_39.wav	bakafundisha mubarak nafisa pensulo yakwe	Female
03-200924-222234_bem_798_elicit_13.wav	kafundisha wa cipingo mukwafwilisha atile kuli amashiwi yane ngaya	Female
05-200916-125800_bem_a40_elicit_3.wav	bushe mwacibuuka nshita nshi	Male
02-200915-230337_bem_197_elicit_0.wav	imfumu lyonse ibafye iyalungama	Male
17-200916-193611_bem_346_elicit_16.wav	tauli pamupando obe epo ulingile ukuba	Female
12-201008-130449_bem_526_elicit_27.wav	icamupamba abapatili nabo tabakwete na mfuti nakalya fye ala bulanda mukwai	Male
03-200925-061220_bem_798_elicit_18.wav	ni cinshi icakwata akanwa akakulu nga kobe ameno ayaatwa ukucila imbwili amenso ayabulunganako ngo lusato no mucila uwamaka ukucila insofu	Female
03-200925-050356_bem_798_elicit_42.wav	bushe kuli ifintu fimo ifyo mumwene ififwile fyabombelwa mu nshila imbi ilyo muleshimpa icilonganino cimbi	Female
01-200914-200932_bem_d31_elicit_35.wav	apa ulebwelelela ku ng'anda ukufuma ku menshi walansanga pa nganda pamobe	Male
05-200916-155836_bem_a40_elicit_41.wav	tulebikisha umucele mu munani	Male
04-200917-142312_bem_346_elicit_27.wav	ufwile ubelengefye weka	Female
02-200918-113007_bem_197_elicit_33.wav	umuntu uushiponya filamba nangufye cibipe shani	Male
03-201001-100406_bem_798_elicit_25.wav	shikulu aitile ba mulimansofu abashakosele kubwalwa bena ngabanwapofye tumo ninshi kukolwa	Female
04-201009-110829_bem_40e_elicit_3.wav	iciwa cilya ne fibiye fyalakonka akaoma panuma	Female
03-200923-215451_bem_798_elicit_8.wav	ilyo balemutinya kwipaka ilyaleitwa galiati aliwapama ukufikapo nincingililwa lesa wandi nancingilila	Female
01-200918-120021_bem_d31_elicit_48.wav	alesubila ukuti ukulanshanya na bawishi tekuti kukokole	Male
03-201004-001734_bem_798_elicit_2.wav	nabasendele amafumo nabapikila ne nkoli mu mapa nabasenda ne fyenge	Female
01-201001-201528_bem_fb0_elicit_15.wav	e mukuti pa kuya ku bioscope nomba nalileka ukulipila	Male
03-201002-063230_bem_798_elicit_11.wav	bushe vera ali naani ishina lya bawishi	Female
04-201009-110829_bem_40e_elicit_7.wav	ambatishe ne shina lya cesefu atufundile ati	Female
02-200917-154721_bem_197_elicit_14.wav	umuntu uwaya umuyila walimo	Male
01-180101-143137_bem_d31_elicit_15.wav	ninkwipusha ilipusho imyenshi shinga	Male
01-201002-000224_bem_fb0_elicit_23.wav	bushe ifi alembele muli uyu kalata kuti munandi alintemwa alamfushana ifyakuteeka inganda	Male
03-201006-013752_bem_798_elicit_7.wav	anatole nao alamukonkomesha no kuti alebika amaano pa nito nokuya umute ku kupepa	Female
04-201008-151412_bem_40e_elicit_9.wav	no bushe ilyo babwelela ku mushi bayashimikila abanabo ifyo mulenga alima	Female
12-201010-081738_bem_526_elicit_34.wav	naile no mutima uwasekela nganshi pa kumona ukuti napelwa ingombe apabula nangu kamo	Male
04-201005-211232_bem_40e_elicit_4.wav	aipula inama na pa mulilo alashipoosa pa menshi yasuka inombe yonse yapwa	Female
03-200924-194133_bem_798_elicit_52.wav	nga cakuti fyonse ifi fyacitwa tekuti kube icakulolela kabili	Female
03-201001-105646_bem_798_elicit_35.wav	wilaipaya	Female
03-200920-120041_bem_798_elicit_17.wav	ukusabukilwa no mwela uwa menshimenshi uusabuka nga umulwele wa kolona akoola atemwa atesula	Female
03-200921-162447_bem_798_elicit_22.wav	umutitikisha wamu ndupwa namu mayanda mu bantu ababa mu bwampano bwa lgbtiq kuti mwasangwa ifintu pamo ngefi	Female
07-200916-162122_bem_c20_elicit_31.wav	awe naceendi uluceelo abantu natuleeya kumilimo natuleeya kumilimo	Female
05-200916-193628_bem_a40_elicit_10.wav	akalimo bashikupele icilambu lupi	Male
16-201008-152306_bem_40e_elicit_19.wav	imfumu yafulwa nganshi yatuma abakuyaipaya mulenga	Female
11-201010-145657_bem_c4b_elicit_28.wav	abaice nabo balatasha nganshi nga abakalamba baletasha imicitile yabo	Female
03-200925-053533_bem_798_elicit_18.wav	shimo intungulushi shifwile ukukumanya umweni pakuti beshibe nga cakutila alakonka shikulu yesu	Female
03-200921-112400_bem_798_elicit_4.wav	ba kapokola mu calo ca australia bantu abasuma kabili abacetekelwa	Female
03-201002-054811_bem_798_elicit_9.wav	leesa tata nimwe mwaishiba ukulamununa lamununeni abafiita nababuuta	Female
03-200918-110406_bem_798_elicit_8.wav	cacine ukonaula takwaafya icaafya kukula	Female
01-200922-091556_bem_d31_elicit_13.wav	yohane takwete cakwasuka e calenga aikele fye tondolo	Male
03-200924-222234_bem_798_elicit_12.wav	bushe kuti twabika shani isenge mu micitile	Female
01-180101-223427_bem_d31_elicit_40.wav	ni nani umbi ukatwala imbila nsuma ku phulpui nga cakutila tabele	Male
01-201001-201528_bem_fb0_elicit_27.wav	bushe benda ubwamba pa bantu pakuti utile tababa na misango ineine	Male
05-200918-095453_bem_a40_elicit_32.wav	cimpindu bwina nama	Male
17-200916-192637_bem_346_elicit_25.wav	mwaumfwa nomba iminineni	Female
04-200916-223805_bem_346_elicit_6.wav	kuli abo abapwisha isukulu	Female
01-201001-201528_bem_fb0_elicit_36.wav	janet asansamwike fye ubushiku bumo ilyo joni amusendele ku biaolo pa citukutuku	Male
03-201002-085315_bem_798_elicit_15.wav	bushe naani bali mumaano yamo yene aya bupondo na cekapu cipisoni	Female
01-201002-002057_bem_fb0_elicit_0.wav	ifwe twatampa ukumufwaya pa kumubwedesha kuno mushi	Male
03-200921-154823_bem_798_elicit_44.wav	nangu tandaleni pe buula lyapa intaneti ilyaba my blue sky pa wwwmyblueskyorgau	Female
01-180101-122837_bem_d31_elicit_35.wav	nacilafwaya ati inkulangisheko ifyo palemoneka bwino panse	Male
03-200924-204525_bem_798_elicit_24.wav	inshila icipingo cibomfeshamo isenge cipilibula fintu batetekela bacita ukufuma ku kutemwa kwa mumulu ukwisusha	Female
03-200920-120041_bem_798_elicit_8.wav	icifuba	Female
12-201008-130449_bem_526_elicit_40.wav	cilya twaba pa ishilya twati awe insala yacilamo natwipike icakulya	Male
01-201005-222019_bem_fb0_elicit_39.wav	twayambana icibusa na banandi banshimu kale balencita bwina lelo pa bushiku bwa lelo bancita icabipa sana	Male
01-180101-213930_bem_d31_elicit_34.wav	mumpwendwa twenty tulesangamo ubutantiko bwa fintu ifyaishile citika panuma yamyaka forty	Male
01-200918-112337_bem_d31_elicit_5.wav	misango nshi shibili isha basambi musambi wamusango nshi mulefwaya ukubako	Male
02-200917-231728_bem_197_elicit_16.wav	icipumbu tacumfwa busoko casuka caikatwa	Male
03-201007-022920_bem_798_elicit_11.wav	shamitombo nao wine kulalilishika fye ali napo maria nga afwa nga nkacita shani	Female
01-201005-222019_bem_fb0_elicit_57.wav	ni apa pene pafumine uyu mulandu	Male
03-201006-021353_bem_798_elicit_46.wav	nomba ukufumafye apo koyikoyi afunikile ukulu ilyo liine na ine e milekele nalekele no bupuupu	Female
06-200918-153816_bem_c20_elicit_1.wav	icalo caiko naco caalifye icikulu	Female
02-200916-121354_bem_197_elicit_2.wav	ilyo umuntu aikala bwino kuti acita nefingamuletelela	Male
01-201005-232741_bem_fb0_elicit_12.wav	amalibu ya mupamba yaipaya abantu bonse mu musumba ne mfumu ine kumo yaipaya	Male
04-201008-153522_bem_40e_elicit_23.wav	nomba ulya mubili akene uwa bulungulwa e ulya waba na mulenga wa mpanga	Female
01-180102-181703_bem_d31_elicit_27.wav	elyo bali kulya kwisano balilanshanya ne mfumu amashiwi aya kankala	Male
03-200924-222234_bem_798_elicit_3.wav	bonse abateekwa ku mfumu imo icishinte ce senge ni mwana lesa muli uyo twakuminkanishiwa mwi senge na lesa tata	Female
04-200917-143010_bem_346_elicit_22.wav	iyi filimu ibomfya utumitwe utwamalangi ayengi	Female
03-201006-011410_bem_798_elicit_0.wav	aendele bushiku bonse asuka afika ku blueville lucelocelo fye akasuba lakalafika na kuli eight hours	Female
01-180101-045438_bem_d31_elicit_39.wav	bushe utusebo tupeelwa palwa ifintu ifyalekana lekana ificitika mu filonganino fyesu twaba shani	Male
11-201011-164709_bem_c4b_elicit_25.wav	umulume wa mpuku nao alaeba umukashi ati	Female
01-201001-231632_bem_fb0_elicit_41.wav	lelo abwela icungulo sana no munkoyo takwete kabili alemoneka uwakolwa sana batampa no kumutunganya	Male
03-201004-110412_bem_798_elicit_9.wav	inshikunkulu bacila pa caka umuku umofye kanofye nga cakuli cimo caponapo icikulu saana nge mfwa ya mfumu	Female
04-201005-205341_bem_40e_elicit_25.wav	wishi wena ico ashakwete milimo ineine io alebomba eco takokwele kulabwa neco afwile abana bacili abaice	Female
03-201007-002328_bem_798_elicit_49.wav	abafyumfuntukako nabo nifyo fine fisongo filebakumanya pa mwinshi	Female
01-201001-225221_bem_fb0_elicit_42.wav	paul awe kabili ifwe tushile nabesala kanshi kuti ayaingila shani	Male
01-200914-214639_bem_d31_elicit_49.wav	kuti naishiba shani emmanuel ulelandapo	Male
01-201004-201313_bem_fb0_elicit_56.wav	umuntu alecita ifyo fine inshiku shonse isho mfubu alebomba pa citemene pamwakwe casuka icitemene caba ngo mulasa wa mfumu	Male
01-201006-112930_bem_fb0_elicit_40.wav	ale isa kuno iwe asonta na pali nduba e ushapundileko	Male
03-201004-001734_bem_798_elicit_28.wav	mwandi caishilebapesha na maano pa kusange mfumu yabo naifwa kabili teyakumoneka na kumoneka	Female
01-201011-224854_bem_fb0_elicit_14.wav	pa kwikata bekata uushingile mu cishilwa bwangu abaingila bwangu mu cishilwa ninshi bena bapusuka	Male
12-201008-130449_bem_526_elicit_32.wav	twayamba no kutikulula motoka	Male
03-200925-003120_bem_798_elicit_21.wav	nga bakolwe batatu apa ukuti twasala ukukana citapo icili conse	Female
02-200915-152337_bem_197_elicit_49.wav	imfumu ngayapingula takuli umbi uwingalandapo fimbi	Male
01-200922-010446_bem_d31_elicit_35.wav	kabili kuti natemwa ukubomfya nshita ine ino ukulomba kuli abo bonse abatemwa lesa ukutwibukishako mukupeela indalama ishakuti tuleshitamo amapepala nokusonkela inganda ilya tubombelamo	Male
04-200917-142312_bem_346_elicit_28.wav	ici cobefye iwe kusepa na ici cesufye fweka	Female
02-200916-151315_bem_197_elicit_11.wav	ulwimbo ulwimbwa nabatemi ilyo bali kufitemene	Male
05-200916-140243_bem_a40_elicit_17.wav	twalisamba ku moolu icungulo	Male
14-201008-145225_bem_40e_elicit_36.wav	mwenya nkashi yakwe atampa ukumubilikisha pa kwishiba uko alolele pakuti omfwe abwelele ku mutanda	Female
05-200917-105852_bem_a40_elicit_10.wav	ne shina lyakwe ni bwalya	Male
05-200918-103449_bem_a40_elicit_83.wav	ati babwekeshe shi nkole ku butuntulu	Male
01-200918-072441_bem_d31_elicit_49.wav	ing'anda yakwa lesa ya mushilo	Male
03-201002-054811_bem_798_elicit_12.wav	dona afulwa ico naleka imilimo	Female
03-200925-053533_bem_798_elicit_15.wav	umo pali ifwe alingile ukulanda nankwe panuma yakulongana pakuti engeshiba ninani uko ekala nefyo acita mu bwikashi bwakwe	Female
06-200916-150125_bem_c20_elicit_40.wav	banyina kwa mumbi bakaana saana nomba imfumu nayo yapimpafye nga cula mwilanda	Female
03-200923-230549_bem_798_elicit_23.wav	afwilisha abafyashi bobe ukupitila mukubapangila ilinga lyakusungilamo inkumba pamo no kubatwalilako amataba ku cisankano	Female
06-200916-110927_bem_c20_elicit_22.wav	elyo ati we mwana kaleteko utukuni pa cikuka palya uleke twise tocele abacintu	Female
