audio	sentence	speaker_gender
03-201006-005222_bem_798_elicit_34.wav	ku mwabo bena baishibafye mpapa ne filundu	Female
03-201004-122608_bem_798_elicit_24.wav	pantu bali no kwikala uyu cka no yu eka mu ncengo shilya shine balengula kale	Female
04-201005-204642_bem_40e_elicit_9.wav	nine daniel chola musatwe	Female
07-200916-162122_bem_c20_elicit_7.wav	ubushiku bumo aya ipaya utubundi	Female
03-200916-010158_bem_798_elicit_31.wav	naifwe twiibukishe ifyo abafyashi baletusambilisha pakuti konse ukotuli twibaletela insoni mu mibele yesu	Female
03-201004-110412_bem_798_elicit_4.wav	bashibekatafye babasenda na ku mushi umo babela babula ne mfuti shabo babika na pa mulungo	Female
17-200915-120130_bem_346_elicit_0.wav	icingomfwisha bwino umutima wandi	Female
11-201011-185414_bem_c4b_elicit_14.wav	nabo abati ee	Female
03-201007-022920_bem_798_elicit_47.wav	muka wongo ena ninshi alifwe cikonko ku fyebo fya ba mumushi ilyo baamwikete na koyikoyi	Female
03-200923-230549_bem_798_elicit_30.wav	mukati ka cilonganino cobe mwaliba abantu abalumbulwa mu fyakupusana na banabo	Female
03-200915-234914_bem_798_elicit_33.wav	pantu  mu cishinka ululimi lwa cifyalilwa nangu ulwa cikaya	Female
03-200923-230549_bem_798_elicit_20.wav	lelo dabidi ena aleba mupepi mukuipyungila ali uwamucinshi ku bafyashi bakwe kabili ali uwacishinka mukubasungila ifitekwa	Female
04-200914-215547_bem_346_elicit_2.wav	mwibuka kwati cinama nangu umuntu	Female
06-200916-094743_bem_c20_elicit_15.wav	kakalulu akati tuleendeca uleke njemufundako ifyakuti mwisemowe ilyo abantu baleisa	Female
07-200916-164857_bem_c20_elicit_34.wav	kete shikeyo walaleka tuume mfumu	Female
03-200921-154823_bem_798_elicit_34.wav	ici cilekumafye ku fyupo fyonse fibe fyamwi funde ifya ntambi nangufye ifya mapepo	Female
03-200924-222234_bem_798_elicit_16.wav	na mapalo yakanishiwa pa kati kesu ukupitila mu mikalile muli kristu	Female
04-200917-143010_bem_346_elicit_29.wav	tamwishibe	Female
03-200915-234914_bem_798_elicit_1.wav	ilelo naikala pa cipuna pakuti nandepo pafya abana ba sempya katumbi na katumba balebombela icalo cabo	Female
03-200925-062606_bem_798_elicit_43.wav	umuntu onse uuli mu mulimo wa ifi fitabo cibe ni mu kulemba nelyo mukusalanganya nangu ni mu kushitisha alingile ukwishibo kuti alebombela lesa mukwafwa ababwananyina	Female
04-200917-201407_bem_346_elicit_8.wav	niwebo nani ishina'	Female
04-201009-110829_bem_40e_elicit_8.wav	umuntu nga afwa ne sambi likalamba mu mutima takapokelelwe mu mulu akapokelelwa na shetani ciwa	Female
03-200924-181036_bem_798_elicit_4.wav	tacipelele fye pa bwafya lelo musebanya	Female
03-200921-105818_bem_798_elicit_9.wav	ababomfi ba mu fipatala bonse bafwile ukukonka inshila shasuminishiwa isha kuicingililamo ku malwele	Female
06-200918-153816_bem_c20_elicit_26.wav	umulumendo ati ambaisheko umufwi wabwela wamulasa na ukumulasa	Female
03-200924-181036_bem_798_elicit_52.wav	lesa wa mitande yakwa israel uo wasebanya	Female
03-200923-215451_bem_798_elicit_43.wav	ukwabula ukutuusha kwine kwine	Female
04-201008-160002_bem_40e_elicit_0.wav	umuntu asendwa na mulenga	Female
03-201004-110412_bem_798_elicit_0.wav	awe e pakwimya maboko mu muulu abati lucimbe	Female
06-200916-154519_bem_c20_elicit_2.wav	kali kashimi kapela	Female
04-200917-143010_bem_346_elicit_45.wav	isho endimi ishotumfwa napa filimba pene	Female
03-200923-215451_bem_798_elicit_40.wav	pali ubwafya lelo tatulefwaya ukububombelapo  eico twalolela	Female
03-200925-010537_bem_798_elicit_30.wav	limo nga twalongana ku citente twishimikafye lelo bamo kuti bapeele bunte	Female
03-200924-194133_bem_798_elicit_50.wav	efingacitika na mu mweo obe	Female
04-200916-232135_bem_346_elicit_11.wav	kanofye ngaba ati 'imakaneni' elo nabena baiminina	Female
03-201006-013752_bem_798_elicit_6.wav	lelo teti alabe kupitako nangu limo nakalya	Female
06-200916-094743_bem_c20_elicit_45.wav	kafika katuula na inyambi yakako paniwinshi	Female
03-200921-154823_bem_798_elicit_42.wav	tumeni lamya pa zero two nine five one four eight one one five tumeni kakalata kapali musange pali zero four eight one zero seven zero eight four four	Female
04-201008-151412_bem_40e_elicit_27.wav	nao pa kwima atala apita ku mfuba shakwe asha apepa e pa kuya na kuli shimapepo mukalamba	Female
03-200925-043821_bem_798_elicit_31.wav	ukuba bamembala bapimpa mu cilonganino ca christian brethren church nangu icilonganino cimbi ica evangelical church ica ishibikwa	Female
03-200916-033028_bem_798_elicit_30.wav	ukulengula fyonse ifyo alecita	Female
11-201010-161959_bem_c4b_elicit_16.wav	iyafumina panse nga baitola bailumbula ukuti pupute	Female
14-201008-145225_bem_40e_elicit_30.wav	baima no tubunga mu kape na tucilemba mu kanweno abati	Female
03-200916-010158_bem_798_elicit_34.wav	umuntu onse apo apela talaba uku ifwena kwikoshi	Female
03-200924-181036_bem_798_elicit_13.wav	inshita shimo bamunyinefwe balaba bwafya	Female
03-201007-002328_bem_798_elicit_46.wav	kutifye cilya balongana kamo akashilika katipo ne cisongo pu fyaisapunkana fyatipo na mpu mpu	Female
04-200916-232135_bem_346_elicit_19.wav	steward ufwile ulembe	Female
03-200925-062606_bem_798_elicit_35.wav	panuma ya milungu ine ukufuma pa bushiku ifitabo fyaletwa mu citungu	Female
17-200916-192637_bem_346_elicit_22.wav	eko uli pegistina	Female
03-201002-063230_bem_798_elicit_12.wav	naani babepeshe ukwipaya kolala joni melodi	Female
03-201006-003654_bem_798_elicit_18.wav	alelambe mishi ya bantu yonsefye	Female
